0	0
25	0
795	0
820	25890
1150	25890
1175	0
1945	0
1970	9298
2604	9298
2629	32767
2791	32767
2816	9298
3450	9298
3475	0
4245	0
4270	9298
4904	9298
4929	32767
5091	32767
5116	9298
5750	9298
5775	0
6545	0
6570	9298
7204	9298
7229	32767
7391	32767
7416	9298
8050	9298
8075	0
8845	0
8870	9298
9504	9298
9529	32767
9691	32767
9716	9298
10350	9298
10375	0
11145	0
11170	9298
11804	9298
11829	32767
11991	32767
12016	9298
12650	9298
12675	0
13445	0
13470	9298
14104	9298
14129	32767
14291	32767
14316	9298
14950	9298
14975	0
15745	0
15770	9298
16404	9298
16429	32767
16591	32767
16616	9298
17250	9298
17275	0
18045	0
18070	9298
18704	9298
18729	32767
18891	32767
18916	9298
19550	9298
19575	0
20345	0
20370	9298
21004	9298
21029	32767
21191	32767
21216	9298
21850	9298
21875	0
22645	0
22670	9298
23304	9298
23329	32767
23491	32767
23516	9298
24150	9298
24175	0
24945	0
24970	9298
25604	9298
25629	32767
25791	32767
25816	9298
26450	9298
26475	0
27245	0
27270	9298
27904	9298
27929	32767
28091	32767
28116	9298
28750	9298
28775	0
29545	0
29570	9298
30204	9298
30229	32767
30391	32767
30416	9298
31050	9298
31075	0
31845	0
31870	9298
32504	9298
32529	32767
32691	32767
32716	9298
33350	9298
33375	0
34145	0
34170	9298
34804	9298
34829	32767
34991	32767
35016	9298
35650	9298
35675	0
36445	0
36470	9298
37104	9298
37129	32767
37291	32767
37316	9298
37950	9298
37975	0
38745	0
38770	9298
39404	9298
39429	32767
39591	32767
39616	9298
40250	9298
40275	0
41045	0
41070	9298
41704	9298
41729	32767
41891	32767
41916	9298
42550	9298
42575	0
43345	0
43370	9298
44004	9298
44029	32767
44191	32767
44216	9298
44850	9298
44875	0
45645	0
45670	9298
46304	9298
46329	32767
46491	32767
46516	9298
47150	9298
47175	0
47945	0
47970	9298
48604	9298
48629	32767
48791	32767
48816	9298
49450	9298
49475	0
50245	0
50270	9298
50904	9298
50929	32767
51091	32767
51116	9298
51750	9298
51775	0
52545	0
52570	9298
53204	9298
53229	32767
53391	32767
53416	9298
54050	9298
54075	0
54845	0
54870	9298
55504	9298
55529	32767
55691	32767
55716	9298
56350	9298
56375	0
57145	0
57170	0
57804	0
57829	0
300000	0
300025	0
300795	0
300820	25890
301150	25890
301175	0
301945	0
301970	9298
302604	9298
302629	32767
302791	32767
302816	9298
303450	9298
303475	0
304245	0
304270	9298
304904	9298
304929	32767
305091	32767
305116	9298
305750	9298
305775	0
306545	0
306570	9298
307204	9298
307229	32767
307391	32767
307416	9298
308050	9298
308075	0
308845	0
308870	9298
309504	9298
309529	32767
309691	32767
309716	9298
310350	9298
310375	0
311145	0
311170	9298
311804	9298
311829	32767
311991	32767
312016	9298
312650	9298
312675	0
313445	0
313470	9298
314104	9298
314129	32767
314291	32767
314316	9298
314950	9298
314975	0
315745	0
315770	9298
316404	9298
316429	32767
316591	32767
316616	9298
317250	9298
317275	0
318045	0
318070	9298
318704	9298
318729	32767
318891	32767
318916	9298
319550	9298
319575	0
320345	0
320370	9298
321004	9298
321029	32767
321191	32767
321216	9298
321850	9298
321875	0
322645	0
322670	9298
323304	9298
323329	32767
323491	32767
323516	9298
324150	9298
324175	0
324945	0
324970	9298
325604	9298
325629	32767
325791	32767
325816	9298
326450	9298
326475	0
327245	0
327270	9298
327904	9298
327929	32767
328091	32767
328116	9298
328750	9298
328775	0
329545	0
329570	9298
330204	9298
330229	32767
330391	32767
330416	9298
331050	9298
331075	0
331845	0
331870	9298
332504	9298
332529	32767
332691	32767
332716	9298
333350	9298
333375	0
334145	0
334170	9298
334804	9298
334829	32767
334991	32767
335016	9298
335650	9298
335675	0
336445	0
336470	9298
337104	9298
337129	32767
337291	32767
337316	9298
337950	9298
337975	0
338745	0
338770	9298
339404	9298
339429	32767
339591	32767
339616	9298
340250	9298
340275	0
341045	0
341070	9298
341704	9298
341729	32767
341891	32767
341916	9298
342550	9298
342575	0
343345	0
343370	9298
344004	9298
344029	32767
344191	32767
344216	9298
344850	9298
344875	0
345645	0
345670	9298
346304	9298
346329	32767
346491	32767
346516	9298
347150	9298
347175	0
347945	0
347970	9298
348604	9298
348629	32767
348791	32767
348816	9298
349450	9298
349475	0
350245	0
350270	9298
350904	9298
350929	32767
351091	32767
351116	9298
351750	9298
351775	0
352545	0
352570	9298
353204	9298
353229	32767
353391	32767
353416	9298
354050	9298
354075	0
354845	0
354870	9298
355504	9298
355529	32767
355691	32767
355716	9298
356350	9298
356375	0
